Navn,OrgNr,NACE_kode,NACE_beskrivelse,AntallAnsatte,aar,driftsinntekter,driftskostnad,driftsresultat,%Driftsmargin_BMRFY,finansinntekter,finanskostnader,%NettoFinansMargin_BMRFY,nettofinans,resultatFørSkatt,%ResultatFørSkatt_BMRFY,aarsresultat,%nettoresultatmargin_BMRFY,totalresultat,anleggsmidler,omlopsmidler,%likviditetsgrad_BMRFY,sumEiendeler,%ROA_BMRFY,innskuttEgenkapital,egenkapital,%egenkapitalandel_BMRFY,%ROE_BMRFY,sumGjeld,%gearing_BMRFY,%Gjeldsgrad_BMRFY,sumEgenkapitalGjeld,langsiktigGjeld,kortsiktigGjeld,omsetningPerAnsatt_BMRFY
0-100 BILVERKSTED AS,927444550,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,4130228,4886716,-756488,"-18,32 %",206,1642,"-0,03 %",-1436,-757923,"-18,35 %",-757923,"-18,35 %",-757923,246100,1138856,"50,73 %",1384957,"-54,73 %",,-860114,"-62,10 %","88,12 %",2245070,"162,10 %","-261,02 %",1384957,0,2245070,688371
3D DETAILING & BILPLEIE AS,924520760,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,4875115,4599634,275481,"5,65 %",781,45509,"-0,92 %",-44728,230754,"4,73 %",230754,"4,73 %",230753,67217,650599,"82,09 %",717816,"32,15 %",,-356107,"-49,61 %","-64,80 %",1073923,"149,61 %","-301,57 %",717816,281400,792523,812519
A.M AUTOSALG AS,919478853,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,23439588,22082254,1357335,"5,79 %",4401,383838,"-1,62 %",-379436,977898,"4,17 %",760036,"3,24 %",,4610549,6969277,"178,69 %",11579826,"6,56 %",,3448632,"29,78 %","22,04 %",8131195,"70,22 %","235,78 %",11579826,4230944,3900251,4687918
A/S SØRENSEN OG BALCHEN,916591144,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",76,2023,591429945,461428580,130001365,"21,98 %",31881578,685524,"5,27 %",31196054,161197419,"27,26 %",126342086,"21,36 %",,250827688,314631663,"132,44 %",565459351,"22,34 %",,327891879,"57,99 %","38,53 %",237567472,"42,01 %","72,45 %",565459351,0,237567472,7781973
AAGE VOLD AUTOSALG AS,912818179,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",16,2023,77569695,78225819,-656124,"-0,85 %",8800,516112,"-0,65 %",-507313,-1163436,"-1,50 %",-1147509,"-1,48 %",,1052559,17232880,"295,11 %",18285439,"-6,28 %",,7413655,"40,54 %","-15,48 %",10871784,"59,46 %","146,65 %",18285439,5032400,5839384,4848106
AARHAUGS BILVERKSTED AS,982916704,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,9029631,8789750,239880,"2,66 %",6211,419535,"-4,58 %",-413324,-173444,"-1,92 %",-173444,"-1,92 %",,461775,3795818,"242,58 %",4257593,"-4,07 %",,-280466,"-6,59 %","61,84 %",4538059,"106,59 %","-1618,04 %",4257593,2973278,1564781,1003292
AARNES AS AMERIKANSKE BILDELER,930055395,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",11,2023,25166211,24817485,348726,"1,39 %",174932,210542,"-0,14 %",-35610,313116,"1,24 %",243080,"0,97 %",243080,5770311,16255967,"440,81 %",22026278,"1,10 %",,15278542,"69,37 %","1,59 %",6747736,"30,63 %","44,16 %",22026278,3060000,3687736,2287837
AARS AS,993853712,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",24,2023,35000000,118000000,-83000000,"-237,14 %",1938000000,44000000,"5411,43 %",1894000000,1811000000,"5174,29 %",1767000000,"5048,57 %",,6039000000,7112000000,"1932,61 %",13151000000,"13,44 %",,12750000000,"96,95 %","13,86 %",401000000,"3,05 %","3,15 %",13151000000,33000000,368000000,1458333
AASEN BIL AS,957129188,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",21,2023,97226955,98596647,-1369693,"-1,41 %",20903,288852,"-0,28 %",-267950,-1637643,"-1,68 %",-1282545,"-1,32 %",-1282545,3291008,32250345,"144,45 %",35541353,"-3,61 %",,13215711,"37,18 %","-9,70 %",22325642,"62,82 %","168,93 %",35541353,0,22325642,4629855
AASEN BIL OG LANDBRUK AS,864346812,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",13,2023,31963793,29341660,2622133,"8,20 %",8062,-417970,"-1,28 %",-409908,2212225,"6,92 %",2165892,"6,78 %",,980036,14789153,"217,81 %",15769189,"13,73 %",,4543102,"28,81 %","47,67 %",11226086,"71,19 %","247,10 %",15769189,4436231,6789856,2458753
AASEN BILDEMONTERING AS,971096764,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",24,2023,32221077,30895357,1325720,"4,11 %",24809,1142446,"-3,47 %",-1117637,208083,"0,65 %",152366,"0,47 %",152366,10130080,10572361,"192,57 %",20702441,"0,74 %",,668392,"3,23 %","22,80 %",20034049,"96,77 %","2997,35 %",20702441,14544013,5490036,1342545
AASUM BIL AS,866754802,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,8279771,6898020,1381751,"16,69 %",59903,1787,"0,70 %",58116,1439867,"17,39 %",1121380,"13,54 %",1121380,113306,5063461,"359,51 %",5176766,"21,66 %",,3768338,"72,79 %","29,76 %",1408429,"27,21 %","37,38 %",5176766,0,1408429,1379962
ABC BIL AS,931345206,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,3737453,3661011,76442,"2,05 %",1963,,"0,05 %",1963,78405,"2,10 %",78405,"2,10 %",,755209,881621,"177,16 %",1636830,"4,79 %",,108406,"6,62 %","72,33 %",1528424,"93,38 %","1409,91 %",1636830,1030791,497633,622909
AB-MOTOR AS,929369009,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",12,2023,40375756,38616869,1758887,"4,36 %",3548,248920,"-0,61 %",-245372,1513515,"3,75 %",1304015,"3,23 %",1304015,997193,14595376,"127,48 %",15592569,"8,36 %",,3747827,"24,04 %","34,79 %",11844742,"75,96 %","316,04 %",15592569,395249,11449494,3364646
ABSOLUTT LAKK & BILVERKSTED AS,927577135,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",7,2023,3499571,3343626,155945,"4,46 %",0,4978,"-0,14 %",-4978,150967,"4,31 %",119155,"3,40 %",,130667,399419,"73,80 %",530086,"22,48 %",,-12798,"-2,41 %","-931,04 %",542883,"102,41 %","-4241,94 %",530086,1633,541250,499939
ADSERØ BIL AS,914912725,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",18,2023,169433037,166961963,2471074,"1,46 %",43570,613678,"-0,34 %",-570108,1900966,"1,12 %",1479739,"0,87 %",1479739,2241061,22311561,"575,76 %",24552622,"6,03 %",,16358336,"66,63 %","9,05 %",8194286,"33,37 %","50,09 %",24552622,4319135,3875151,9412947
ADSERØ BILVERKSTED AS,914526698,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,14817015,12519246,2297769,"15,51 %",9844,93048,"-0,56 %",-83203,2214565,"14,95 %",1723212,"11,63 %",1723212,1780787,6851502,"157,87 %",8632290,"19,96 %",,3141295,"36,39 %","54,86 %",5490993,"63,61 %","174,80 %",8632287,1150893,4340100,987801
AGDER AKTIV BILPLEIE AS,921228317,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,1817516,1878169,-60654,"-3,34 %",1709,360,"0,07 %",1349,-59305,"-3,26 %",-48066,"-2,64 %",,188332,414522,"93,78 %",602854,"-7,97 %",,160852,"26,68 %","-29,88 %",442002,"73,32 %","274,79 %",602854,2,442000,363503
AGDER BIL OG KAROSSERI AS,918512616,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,26139165,24316307,1822858,"6,97 %",28579,35920,"-0,03 %",-7341,1815517,"6,95 %",1375435,"5,26 %",1375435,929834,3764777,"244,31 %",4694611,"29,30 %",,2085875,"44,43 %","65,94 %",2608736,"55,57 %","125,07 %",4694611,1067757,1540979,2613917
AGDER BILSKADE AS,932865823,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",23,2023,32301371,28551063,3750309,"11,61 %",28000,4441,"0,07 %",23559,3773868,"11,68 %",2939583,"9,10 %",,2674857,9181537,"147,17 %",11856394,"24,79 %",,5617460,"47,38 %","52,33 %",6238934,"52,62 %","111,06 %",11856394,0,6238934,1404407
AGDER SKADE & LAKK AS,924560134,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,3255579,4168788,-913209,"-28,05 %",491,6699,"-0,19 %",-6207,-919416,"-28,24 %",-964495,"-29,63 %",-964495,227041,1179049,"101,30 %",1406090,"-68,59 %",,-197793,"-14,07 %","487,63 %",1603883,"114,07 %","-810,89 %",1406090,440000,1163883,406947
AIRSUSPENSION AS,917379610,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",16,2023,22671973,22176176,495797,"2,19 %",4378,80758,"-0,34 %",-76380,419417,"1,85 %",380886,"1,68 %",380886,1143340,4740761,"129,12 %",5884100,"6,47 %",,1346429,"22,88 %","28,29 %",4537671,"77,12 %","337,02 %",5884100,866169,3671502,1416998
AJ BIL OG MOTOR AS,919666536,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,13448938,12663204,785734,"5,84 %",101780,4952,"0,72 %",96828,882562,"6,56 %",682346,"5,07 %",,3775800,4558854,"244,26 %",8334654,"8,19 %",,4004420,"48,05 %","17,04 %",4330234,"51,95 %","108,14 %",8334654,2463845,1866389,1681117
AKERSHUS TUNGBILSERVICE AS,919976446,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,25431844,26292970,-861127,"-3,39 %",4274,456076,"-1,78 %",-451802,-1312928,"-5,16 %",-2240351,"-8,81 %",-2240351,459764,8916026,"198,09 %",9375790,"-23,90 %",,-1025501,"-10,94 %","218,46 %",10401291,"110,94 %","-1014,26 %",9375790,5900271,4501019,2311986
ALBJERK BIL DRAMMEN AS,983222870,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",107,2023,1037121298,1009223896,27897402,"2,69 %",428063,2871772,"-0,24 %",-2443709,25453693,"2,45 %",19840815,"1,91 %",,17220078,125810523,"131,80 %",143030601,"13,87 %",,47574430,"33,26 %","41,70 %",95456171,"66,74 %","200,65 %",143030601,0,95456171,9692722
ALBJERK BIL LIER AS,983222838,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",52,2023,555839343,537765489,18073854,"3,25 %",418942,2331763,"-0,34 %",-1912821,16161033,"2,91 %",12592725,"2,27 %",,6750673,101384481,"129,49 %",108135154,"11,65 %",,29838371,"27,59 %","42,20 %",78296783,"72,41 %","262,40 %",108135154,0,78296783,10689218
ALBJERK BIL RINGERIKE AS,817203752,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",46,2023,456911111,448900118,8010993,"1,75 %",232468,1782353,"-0,34 %",-1549885,6461108,"1,41 %",5034981,"1,10 %",,6650930,75690043,"138,84 %",82340973,"6,11 %",,27825022,"33,79 %","18,10 %",54515951,"66,21 %","195,92 %",82340973,0,54515951,9932850
ALEX AUTOSERVICE AS,990050244,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",15,2023,18852884,16742339,2110544,"11,19 %",5138,4129,"0,01 %",1009,2111553,"11,20 %",1539369,"8,17 %",1539369,750907,4938341,"173,82 %",5689248,"27,06 %",,2848254,"50,06 %","54,05 %",2840994,"49,94 %","99,75 %",5689248,0,2840994,1256859
ALF GRAARUD MOTOR AS,931778757,45.402,"Detaljhandel med motorsykler, deler og utstyr",54,2023,148970532,145930727,3039805,"2,04 %",699984,-316529,"0,26 %",383455,3423260,"2,30 %",3731978,"2,51 %",,1851623,26895646,"134,80 %",28747270,"12,98 %",,8795461,"30,60 %","42,43 %",19951808,"69,40 %","226,84 %",28747270,0,19951808,2758714
ALFA BILVERKSTED AS,981440722,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,6369947,6244232,125716,"1,97 %",8077,731,"0,12 %",7346,133062,"2,09 %",102290,"1,61 %",102290,227580,1346067,"218,76 %",1573646,"6,50 %",,958324,"60,90 %","10,67 %",615323,"39,10 %","64,21 %",1573646,0,615323,1061658
ALFA DEKK AS,925769371,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",22,2023,56879548,52809741,4069807,"7,16 %",67861,90769,"-0,04 %",-22908,4046899,"7,11 %",3142701,"5,53 %",3142701,354950,24333596,"159,73 %",24688547,"12,73 %",,9099838,"36,86 %","34,54 %",15588709,"63,14 %","171,31 %",24688547,354571,15234138,2585434
ALFA GLASS AS,998380006,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,491554,448683,42872,"8,72 %",,,"0,00 %",0,42872,"8,72 %",42872,"8,72 %",,0,135197,"121,77 %",135197,"31,71 %",,24167,"17,88 %","177,40 %",111031,"82,13 %","459,43 %",135197,0,111031,98311
ALFASET AUTO VERKSTED AS,962963897,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,11889407,11430073,459334,"3,86 %",62314,6211,"0,47 %",56103,515437,"4,34 %",432644,"3,64 %",,1638348,5335265,"366,81 %",6973612,"6,20 %",,5519121,"79,14 %","7,84 %",1454491,"20,86 %","26,35 %",6973612,0,1454491,1486176
ALLSUPERMOTO AS,915137423,45.402,"Detaljhandel med motorsykler, deler og utstyr",8,2023,22778573,22902945,-124372,"-0,55 %",4079,371183,"-1,61 %",-367104,-491476,"-2,16 %",-491476,"-2,16 %",-491476,536094,10930839,"169,69 %",11466933,"-4,29 %",,2287212,"19,95 %","-21,49 %",9179721,"80,05 %","401,35 %",11466933,2738238,6441484,2847322
ALMLI MEK AS,913327810,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",9,2023,12196199,13137858,-941659,"-7,72 %",11116,49870,"-0,32 %",-38754,-980412,"-8,04 %",-980412,"-8,04 %",,821382,2234880,"81,96 %",3056263,"-32,08 %",,329357,"10,78 %","-297,67 %",2726905,"89,22 %","827,95 %",3056263,0,2726905,1355133
ALT I ALT AS,915128963,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",8,2023,75329615,67907415,7422199,"9,85 %",9541,234722,"-0,30 %",-225181,7197018,"9,55 %",5605870,"7,44 %",5605870,1582567,17424708,"270,58 %",19007275,"29,49 %",,7751799,"40,78 %","72,32 %",11255476,"59,22 %","145,20 %",19007275,4815730,6439746,9416202
ALTA BILLAKKERING AS,944601309,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",22,2023,51777311,47716942,4060370,"7,84 %",38227,22000,"0,03 %",16227,4076596,"7,87 %",3173827,"6,13 %",3173827,2487958,33806057,"764,17 %",36294015,"8,74 %",,31870101,"87,81 %","9,96 %",4423914,"12,19 %","13,88 %",36294015,0,4423914,2353514
ALTA CARAVAN AS,991172130,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",15,2023,46959078,45073144,1885934,"4,02 %",12183,2377156,"-5,04 %",-2364973,-479039,"-1,02 %",-373651,"-0,80 %",,20789036,26738823,"522,90 %",47527859,"-0,79 %",,2447797,"5,15 %","-15,26 %",45080062,"94,85 %","1841,66 %",47527859,39966530,5113531,3130605
ALTA MOTORSENTER AS,967960217,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",54,2023,307534906,303327581,4207325,"1,37 %",109809,1567071,"-0,47 %",-1457262,2750063,"0,89 %",2129494,"0,69 %",,13781443,87836881,"155,67 %",101618324,"2,10 %",,34909148,"34,35 %","6,10 %",66709174,"65,65 %","191,09 %",101618322,10284316,56424858,5695091
ALTITEC.NO AS,927526603,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",6,2023,4358393,4046734,311659,"7,15 %",17945,28963,"-0,25 %",-11017,300642,"6,90 %",231274,"5,31 %",231274,31801,1202434,"151,23 %",1234235,"18,74 %",,435998,"35,33 %","53,04 %",798237,"64,67 %","183,08 %",1234235,3143,795094,726399
ALTOMBIL AS,997275764,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,5167074,4718831,448243,"8,67 %",12078,15648,"-0,07 %",-3570,444673,"8,61 %",356747,"6,90 %",,626695,2184504,"287,88 %",2811199,"12,69 %",,2086378,"74,22 %","17,10 %",724821,"25,78 %","34,74 %",2811199,-34014,758835,1033415
AMD MOTOR SYKLER AS,977102510,45.402,"Detaljhandel med motorsykler, deler og utstyr",13,2023,56168084,55108155,1059930,"1,89 %",22831,896516,"-1,56 %",-873685,186244,"0,33 %",-17865,"-0,03 %",-17865,1682229,36550010,"158,42 %",38232239,"-0,05 %",,11056761,"28,92 %","-0,16 %",27175479,"71,08 %","245,78 %",38232239,4104351,23071128,4320622
AMERIKANSKE BILDELER AS,987665351,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",5,2023,12408260,12306498,101761,"0,82 %",138388,123324,"0,12 %",15064,116826,"0,94 %",91125,"0,73 %",,1527593,4981568,"421,56 %",6509160,"1,40 %",,5327456,"81,85 %","1,71 %",1181704,"18,15 %","22,18 %",6509160,0,1181704,2481652
AMS MOTORSYKKELSENTERET AS,963494122,45.402,"Detaljhandel med motorsykler, deler og utstyr",16,2023,37640578,36439724,1200853,"3,19 %",115107,533060,"-1,11 %",-417954,782900,"2,08 %",610553,"1,62 %",610553,581696,15515998,"284,17 %",16097695,"3,79 %",,9340613,"58,02 %","6,54 %",6757082,"41,98 %","72,34 %",16097695,1296875,5460207,2352536
ANDERS LANGÅS AS,947612018,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",6,2023,11998857,11906174,92683,"0,77 %",15696,92731,"-0,64 %",-77035,15648,"0,13 %",12322,"0,10 %",,9676,3836256,"196,44 %",3845932,"0,32 %",,1081929,"28,13 %","1,14 %",2764003,"71,87 %","255,47 %",3845932,811106,1952897,1999810
ANDERSEN BIL OG BILSKADE AS,999641199,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",5,2023,7286967,6903702,383265,"5,26 %",2202,7516,"-0,07 %",-5315,377950,"5,19 %",356927,"4,90 %",356927,27670,1968825,"161,96 %",1996495,"17,88 %",,780907,"39,11 %","45,71 %",1215588,"60,89 %","155,66 %",1996495,0,1215588,1457393
ANDR. L. RIIS AS,938536562,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",17,2023,44076453,35307436,8769017,"19,90 %",63914639,2237058,"139,93 %",61677581,70446598,"159,83 %",54940804,"124,65 %",,107002066,114312642,"187,34 %",221314708,"24,82 %",,149963433,"67,76 %","36,64 %",71351275,"32,24 %","47,58 %",221314708,10331326,61019949,2592733
ANDRESEN BIL AS,911749963,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",65,2023,762659623,763728191,-1068568,"-0,14 %",188923,2092178,"-0,25 %",-1903255,-2971823,"-0,39 %",-2322548,"-0,30 %",-2322548,10005098,112302870,"150,24 %",122307969,"-1,90 %",,37905765,"30,99 %","-6,13 %",84402204,"69,01 %","222,66 %",122307969,9651666,74750538,11733225
ANDRESEN KAROSSERI AS,930887137,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",27,2023,970376,1373648,-403272,"-41,56 %",,,,,-403272,"-41,56 %",-314552,"-32,42 %",-314552,2392999,973865,"26,67 %",3366863,"-9,34 %",,-284552,"-8,45 %","110,54 %",3651415,"108,45 %","-1283,22 %",3366863,0,3651415,35940
ANKA AUTO AS,918837876,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",5,2023,32805095,32929353,-124258,"-0,38 %",7768,17190,"-0,03 %",-9422,-133680,"-0,41 %",-105250,"-0,32 %",-105250,28430,2558275,"287,35 %",2586705,"-4,07 %",,1696406,"65,58 %","-6,20 %",890299,"34,42 %","52,48 %",2586705,0,890299,6561019
ANKER AS,859025552,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",5,2023,3774893,4589928,-815035,"-21,59 %",781537,471,"20,69 %",781066,-33969,"-0,90 %",36641,"0,97 %",,7317789,3554315,"225,45 %",10872104,"0,34 %",,8477062,"77,97 %","0,43 %",2395042,"22,03 %","28,25 %",10872104,818511,1576531,754979
ANKER BILSERVICE AS,915000959,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,7563687,7827439,-263751,"-3,49 %",696,2742,"-0,03 %",-2046,-265797,"-3,51 %",-265797,"-3,51 %",,558474,828888,"103,18 %",1387362,"-19,16 %",,583994,"42,09 %","-45,51 %",803368,"57,91 %","137,56 %",1387362,0,803368,1260615
ANKER DEKK AS,924358041,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",11,2023,8087942,8273598,-185656,"-2,30 %",6660,30911,"-0,30 %",-24251,-209907,"-2,60 %",-161802,"-2,00 %",,174589,2945888,"226,50 %",3120477,"-5,19 %",,1819867,"58,32 %","-8,89 %",1300611,"41,68 %","71,47 %",3120477,0,1300611,735267
ANTEC NORGE AS,928241041,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",9,2023,54485547,46494705,7990842,"14,67 %",68517,168629,"-0,18 %",-100112,7890730,"14,48 %",6144320,"11,28 %",6144320,893140,20498348,"159,06 %",21391488,"28,72 %",,7983203,"37,32 %","76,97 %",13408285,"62,68 %","167,96 %",21391488,520766,12887519,6053950
APEX AUTO AS,919062150,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",6,2023,6443317,6673539,-230221,"-3,57 %",7453,-2748,"0,07 %",4705,-225516,"-3,50 %",-228928,"-3,55 %",,453871,1344057,"169,63 %",1797928,"-12,73 %",,1005599,"55,93 %","-22,77 %",792330,"44,07 %","78,79 %",1797929,0,792330,1073886
AQUA BIL AS,915388159,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",7,2023,23822267,21083641,2738626,"11,50 %",,44859,"-0,19 %",-44859,2693767,"11,31 %",2467981,"10,36 %",2467981,16443,4894384,"634,13 %",4910827,"50,26 %",,4139004,"84,28 %","59,63 %",771823,"15,72 %","18,65 %",4910827,0,771823,3403181
AQUASHINE BILPLEIE & DEKK AS,995855690,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",11,2023,4874142,4847714,26427,"0,54 %",1416,54351,"-1,09 %",-52935,-26507,"-0,54 %",-21765,"-0,45 %",,477618,1329205,"113,11 %",1806823,"-1,20 %",,133057,"7,36 %","-16,36 %",1673766,"92,64 %","1257,93 %",1806823,498641,1175125,443104
ARCTIC MOTOR AS,985823995,45.403,Vedlikehold og reparasjon av motorsykler,8,2023,33366879,34715205,-1348326,"-4,04 %",8705,650196,"-1,92 %",-641491,-1989817,"-5,96 %",-1554518,"-4,66 %",-1554518,2050228,18154599,"173,17 %",20204827,"-7,69 %",,3350982,"16,59 %","-46,39 %",16853845,"83,41 %","502,95 %",20204827,6370210,10483634,4170860
ARCTIC TRUCKS NORGE AS,979994893,45.310,"Agentur- og engroshandel med deler og utstyr til motorvogner, unntatt motorsykler",34,2023,119107585,109002490,10105095,"8,48 %",124074,569446,"-0,37 %",-445372,9659723,"8,11 %",7521966,"6,32 %",7521966,11167667,38040210,"200,15 %",49207877,"15,29 %",,24209807,"49,20 %","31,07 %",24998070,"50,80 %","103,26 %",49207877,5992256,19005815,3503164
ARENA MC AS,918316760,45.402,"Detaljhandel med motorsykler, deler og utstyr",13,2023,29999089,29884574,114515,"0,38 %",946,62687,"-0,21 %",-61741,52775,"0,18 %",40681,"0,14 %",40681,425240,9352529,"307,39 %",9777769,"0,42 %",,3158876,"32,31 %","1,29 %",6618894,"67,69 %","209,53 %",9777769,3576375,3042519,2307622
ARENDAL AUTO AS,983877605,45.112,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler",20,2023,125828193,119919207,5908986,"4,70 %",191851,368533,"-0,14 %",-176682,5732304,"4,56 %",4471620,"3,55 %",4471620,1147300,44570897,"155,30 %",45718198,"9,78 %",,9064370,"19,83 %","49,33 %",36653827,"80,17 %","404,37 %",45718198,7953729,28700098,6291410
ARENDAL BIL AS,912116670,45.111,"Agentur- og engroshandel med biler og lette motorvogner, unntatt motorsykler",6,2023,85934109,78043920,7890189,"9,18 %",1567654,1592411,"-0,03 %",-24757,7865432,"9,15 %",6200639,"7,22 %",6200639,5990394,33862841,"1273,43 %",39853235,"15,56 %",,37194047,"93,33 %","16,67 %",2659188,"6,67 %","7,15 %",39853235,0,2659188,14322352
ARINA BILVASK AS,993587869,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,1747656,1761815,-14159,"-0,81 %",,1640,"-0,09 %",-1640,-15799,"-0,90 %",-30108,"-1,72 %",,0,257321,"116,26 %",257321,"-11,70 %",,20195,"7,85 %","-149,09 %",221327,"86,01 %","1095,95 %",241522,0,221327,218457
ARNE GULBRANDSEN AS,916780648,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",10,2023,13093248,12336765,756483,"5,78 %",7161,212443,"-1,57 %",-205282,551202,"4,21 %",429939,"3,28 %",429939,5126523,1705530,"88,68 %",6832053,"6,29 %",,1824947,"26,71 %","23,56 %",5007106,"73,29 %","274,37 %",6832053,3083775,1923331,1309325
ARNESEN AUTO AS,984671733,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,9313065,9392843,-79778,"-0,86 %",0,59954,"-0,64 %",-59954,-139732,"-1,50 %",-139732,"-1,50 %",,76597,386215,"23,14 %",462812,"-30,19 %",,-1395870,"-301,61 %","10,01 %",1858682,"401,61 %","-133,16 %",462812,189421,1669261,1164133
ARNESEN AUTOKAROSSERI AS,997290674,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",8,2023,7442033,7347433,94600,"1,27 %",6027,84934,"-1,06 %",-78907,15693,"0,21 %",15693,"0,21 %",,161947,2242961,"92,38 %",2404907,"0,65 %",,-163107,"-6,78 %","-9,62 %",2568014,"106,78 %","-1574,44 %",2404907,139984,2428030,930254
ARVE OPSAHL AS,918040242,45.192,"Detaljhandel med andre motorvogner, unntatt motorsykler",13,2023,154168220,146194150,7974070,"5,17 %",656700,5207585,"-2,95 %",-4550885,3423185,"2,22 %",2651492,"1,72 %",,36648251,86501607,"150,80 %",123149858,"2,15 %",,36541838,"29,67 %","7,26 %",86608021,"70,33 %","237,01 %",123149859,29245473,57362548,11859094
AS ASKIM BILREKVISITA,885049702,45.320,"Detaljhandel med deler og utstyr til motorvogner, unntatt motorsykler",10,2023,18692445,19343973,-651528,"-3,49 %",2923,334357,"-1,77 %",-331434,-982962,"-5,26 %",-767974,"-4,11 %",,524238,8355380,"248,84 %",8879618,"-8,65 %",,-389643,"-4,39 %","197,10 %",9269261,"104,39 %","-2378,91 %",8879618,5911466,3357795,1869245
AS AUTO ELEKTRO,918542272,45.200,"Vedlikehold og reparasjon av motorvogner, unntatt motorsykler",14,2023,39676799,37243780,2433019,"6,13 %",62335,469868,"-1,03 %",-407534,2025485,"5,10 %",1578922,"3,98 %",1578922,13683019,9640928,"191,86 %",23323947,"6,77 %",,8325775,"35,70 %","18,96 %",14998172,"64,30 %","180,14 %",23323947,9973277,5024895,2834057
